archetype,archetype_key,heating_type,COP,tau_hours,building_count,mean_cost_save_pct,std_cost_save_pct,mean_co2_save_pct,std_co2_save_pct,mean_daily_cost_save_eur,mean_daily_co2_save_g,annual_cost_save_eur,annual_co2_save_kg,total_annual_cost_save,total_annual_co2_save_kg,weight
Pre-1930,pre_1930,Electric,1.0,44.0,18330,6.516770299656275,10.352603353109066,-1.8842725634079056,6.977259516293232,0.3648289873006536,-47.90326507189543,65.66921771411765,-8.62258771294118,1203716.7606997765,-158052.0327782118,0.0845514804581371
Pre-1930,pre_1930,Heat Pump,3.0,44.0,44105,6.515739363957904,10.352806032610646,-1.8809911658552463,6.9770143151521475,0.12165195542647052,-15.824033484749455,21.897351976764693,-2.848326027254902,965782.7089352068,-125625.41943207745,0.20344479244987107
1930-1950,1930_1950,Electric,1.0,32.4,3789,0.35798691709103886,4.588068381763404,-1.2176609330336576,2.649435319610586,-0.03586323547712422,-55.5782974509804,-6.45538238588236,-10.004093541176472,-24459.443860108262,-37905.51042751765,0.017477662818105918
1930-1950,1930_1950,Heat Pump,3.0,32.4,14678,0.3512821969462672,4.589833049950447,-1.2211246565056029,2.6505851651918078,-0.01226112205446627,-18.581109108387817,-2.2070019698039283,-3.3445996395098074,-32394.37491278206,-49092.033508724955,0.06770576269310073
1951-1960,1951_1960,Electric,1.0,38.0,2440,5.425716330832781,9.205334301803882,-1.8918368345608951,6.157773792027838,0.28192748320424854,-53.50837807026141,50.74694697676474,-9.631508052647053,123822.55062330597,-23500.87964845881,0.011255079777297028
1951-1960,1951_1960,Heat Pump,3.0,38.0,9301,5.416225465114507,9.211539999504192,-1.8912524108685596,6.162584103018445,0.09362536480936817,-17.741560173202615,16.85256566568627,-3.1934808311764704,156745.713256548,-29702.56521077235,0.04290307254452445
1961-1972,1961_1972,Electric,1.0,50.0,11917,-0.10193488118178237,3.0858210870649856,-1.1745819346863051,1.6604669053905008,-0.05109150308823523,-54.099520816993454,-9.19647055588234,-9.73791374705882,-109594.33961444985,-116046.71812369997,0.05496999414182323
1961-1972,1961_1972,Heat Pump,3.0,50.0,30796,-0.14675804492247155,3.098904121355495,-1.2141573507534476,1.6382722477605935,-0.018030048973311556,-18.715214166666684,-3.2454088151960803,-3.3687385500000033,-99945.60987277848,-103743.6723858001,0.14205386754985216
1973-1978,1973_1978,Electric,1.0,40.0,11271,1.4656915228652199,5.723529097331166,-1.5880021576464447,3.5760325164842417,0.0479793790980393,-61.889247815359425,8.636288237647074,-11.140064606764696,97339.60472652018,-125559.6681828449,0.05199016564340771
1973-1978,1973_1978,Heat Pump,3.0,40.0,8896,1.4497185954373537,5.7245928240965,-1.596928106731112,3.5738353258493545,0.015522794110021804,-20.765419266884543,2.7941029398039245,-3.7377754680392177,24856.339752495714,-33251.250563676884,0.04103491381099769
1979-1998,1979_1998,Electric,1.0,46.0,16055,2.30713917771144,6.382739736775038,-1.7379569498029104,4.152514347463942,0.10492624207516336,-67.21697006045746,18.886723573529405,-12.099054610882343,303226.3469730146,-194250.32177771602,0.07405750238709172
1979-1998,1979_1998,Heat Pump,3.0,46.0,9773,2.2753184314344597,6.3933394623593,-1.7539752526607029,4.149407817683531,0.03385717874999997,-22.656322645424822,6.094292174999994,-4.078138076176468,59559.51742627494,-39855.64341847262,0.04508028469816552
1999-2006,1999_2006,Electric,1.0,55.0,571,0.6769636449746301,4.282240985934918,-1.2155293869913977,2.502344991975502,0.003184673802287626,-54.3450537892156,0.5732412844117727,-9.782109682058808,327.32077339912223,-5585.584628455579,0.0026338731773920504
1999-2006,1999_2006,Heat Pump,3.0,55.0,3549,0.5675722287129232,4.298977141850098,-1.3172591567081575,2.455719010848985,-0.0015722710103485804,-19.432014595860558,-0.2830087818627445,-3.4977626272549007,-1004.3981668308801,-12413.559564127643,0.0163706057908308
Post-2006,post_2006,Electric,1.0,70.0,727,1.4574598153659952,5.083328062839391,-0.9095130268582563,4.067072702748641,0.1175700648480391,-21.74780518464064,21.16261167264704,-3.914604933235315,15385.218686014397,-2845.917786462074,0.0033534602451208767
Post-2006,post_2006,Heat Pump,3.0,70.0,30593,1.1507574196654637,5.087757443063,-1.0442479458957508,4.005049156813036,0.03359993443082787,-8.653366071350767,6.047988197549017,-1.557605892843138,185026.1029276171,-47651.83707975012,0.14111748181428196
